brand,rule_name,vendors,brands,days,start_date,end_date,discount,kickback,categories,stores,include_phrases,excluded_phrases,include_units,enabled,notes
Pacific Stone,Pacific Stone - Monday Thursday (50/30),,Pacific Stone,Monday;Thursday,,,50%,30%,,,,,False,True,
PlugNPlay,,"Vino & Cigarro, LLC;Garden Of Weeden Inc.;KIVA / LCISM CORP;IE Licensing, LLC",Plug n Play |;Plug N Play |,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,50%,0%,,,,,False,True,
Preferred,,Garden Of Weeden Inc.;Helios | Hypeereon Corporation;Garden Of Weeden,Preferred Gardens,Monday;Wednesday,,,50%,30%,,,,,False,True,
Pusha,,"Ash Capital, Inc.",Pusha,Friday;Saturday,,,50%,30%,,,,,False,True,
Raw Garden,,Garden Of Weeden Inc.;Garden Of Weeden,Raw Garden |,Wednesday;Tuesday,,,50%,30%,,,,,False,True,
Sauce,,Garden Of Weeden;Garden Of Weeden Inc.,Sauce |,Friday,,,50%,30%,,,,,False,True,
Sluggers,Sluggers - Monday Sunday (50/30),Garden Of Weeden;Garden Of Weeden Inc.,Sluggers,Monday;Sunday,,,50%,30%,,,,,False,True,
Sluggers,Sluggers - Tue-Sat (30/0),Garden Of Weeden;Garden Of Weeden Inc.,Sluggers,Tuesday;Wednesday;Thursday;Friday;Saturday,,,30%,0%,,,,,False,True,
Smokiez,,Garden Of Weeden Inc.,Smokies |,Tuesday;Wednesday,,,50%,30%,,,,,False,True,
Sol Flora,,,Sol Flora,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,30%,0%,,,,,False,True,
Stiiizy,,,Stiiizy |,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,40%,0%,,,,,False,True,
Time Machine,,,Time Machine,Tuesday;Friday,,,50%,30%,,,,,False,True,
Traditional,,,Traditional |,Monday;Tuesday,,,50%,30%,,,,,False,True,
TreeSap,,Zenleaf LLC;Center Street Investments Inc.;Fluids Manufacturing Inc.;Garden Of Weeden Inc.,TreeSap,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,50%,25%,,,,,False,True,
Turn,,"Garden Of Weeden;Garden Of Weeden Inc.;Hilife Group MV , LLC",Turn |,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,50%,30%,,,,,False,True,
WYLD/GoodTide,,2020 Long Beach LLC,Wyld;Good Tide,Friday;Saturday,,,50%,25%,,,,,False,True,
Wavvy,,"Happy Travels, LLC",Wavvy,Wednesday;Thursday,,,50%,30%,,,,,False,True,
Yada Yada,,Fluids Manufacturing Inc.,Yada Yada |,Wednesday,,,50%,30%,,,,,False,True,
